"No.","Time","Source","Destination","Protocol","Length","Info","MAC src","MAC dst"
"123","12.795535346","133.115.51.193","127.0.0.53","DNS","74","Standard query 0x0000 A facebook.com","00:00:00_00:00:00",""
"124","12.795896046","43.115.1.218","127.0.0.53","DNS","73","Standard query 0x0000 A youtube.com","00:00:00_00:00:00",""
"125","12.819687238","12.34.56.78","127.0.0.53","DNS","73","Standard query 0x0000 A youtube.com","00:00:00_00:00:00",""
"126","12.838582199","245.212.253.68","127.0.0.53","DNS","73","Standard query 0x0000 A youtube.com","00:00:00_00:00:00",""
"127","12.869332542","78.78.78.78","127.0.0.53","DNS","72","Standard query 0x0000 A tumblr.com","00:00:00_00:00:00",""
"128","12.876427360","99.99.99.99","127.0.0.53","DNS","72","Standard query 0x0000 A flickr.com","00:00:00_00:00:00",""
"129","12.894023364","73.140.177.105","127.0.0.53","DNS","71","Standard query 0x0000 A apple.com","00:00:00_00:00:00",""
"131","12.915059442","192.168.127.127","127.0.0.53","DNS","72","Standard query 0x0000 A flickr.com","00:00:00_00:00:00",""
"132","12.917043414","139.37.104.129","127.0.0.53","DNS","68","Standard query 0x0000 A goo.gl","00:00:00_00:00:00",""
"133","12.917381671","93.43.246.246","127.0.0.53","DNS","75","Standard query 0x0000 A pinterest.com","00:00:00_00:00:00",""
"134","12.922009053","192.168.127.127","127.0.0.53","DNS","72","Standard query 0x0000 A amazon.com","00:00:00_00:00:00",""
"135","12.940074807","99.99.99.99","127.0.0.53","DNS","71","Standard query 0x0000 A adobe.com","00:00:00_00:00:00",""
"136","13.092947402","240.97.30.79","127.0.0.53","DNS","72","Standard query 0x0000 A tumblr.com","00:00:00_00:00:00",""
"137","13.222632852","172.255.1.2","127.0.0.53","DNS","75","Standard query 0x0000 A pinterest.com","00:00:00_00:00:00",""
"138","13.246322241","172.255.1.2","127.0.0.53","DNS","71","Standard query 0x0000 A apple.com","00:00:00_00:00:00",""
"139","13.249342314","127.127.255.255","127.0.0.53","DNS","74","Standard query 0x0000 A blogspot.com","00:00:00_00:00:00",""
"140","13.264827218","151.10.22.173","127.0.0.53","DNS","72","Standard query 0x0000 A amazon.com","00:00:00_00:00:00",""
"141","13.265347412","127.127.255.255","127.0.0.53","DNS","75","Standard query 0x0000 A wordpress.org","00:00:00_00:00:00",""
"142","13.267097575","206.243.134.89","127.0.0.53","DNS","74","Standard query 0x0000 A facebook.com","00:00:00_00:00:00",""
"143","13.297167468","78.87.87.87","127.0.0.53","DNS","71","Standard query 0x0000 A viemo.com","00:00:00_00:00:00",""
"144","13.299801255","127.127.127.0","127.0.0.53","DNS","71","Standard query 0x0000 A viemo.com","00:00:00_00:00:00",""
"145","13.314999737","157.226.26.182","127.0.0.53","DNS","74","Standard query 0x0000 A blogspot.com","00:00:00_00:00:00",""
"146","13.346021051","78.78.78.78","127.0.0.53","DNS","74","Standard query 0x0000 A linkedin.com","00:00:00_00:00:00",""
"147","13.349743834","172.117.44.111","127.0.0.53","DNS","70","Standard query 0x0000 A youtu.be","00:00:00_00:00:00",""
"148","13.364249538","214.139.143.24","127.0.0.53","DNS","71","Standard query 0x0000 A viemo.com","00:00:00_00:00:00",""
"149","13.380307886","99.99.99.99","127.0.0.53","DNS","72","Standard query 0x0000 A tumblr.com","00:00:00_00:00:00",""
"150","13.406175382","172.255.1.2","127.0.0.53","DNS","74","Standard query 0x0000 A blogspot.com","00:00:00_00:00:00",""
"151","13.417820111","12.34.56.78","127.0.0.53","DNS","74","Standard query 0x0000 A facebook.com","00:00:00_00:00:00",""
"152","13.418364174","21.4.176.85","127.0.0.53","DNS","74","Standard query 0x0000 A linkedin.com","00:00:00_00:00:00",""
"153","13.436315300","172.255.1.2","127.0.0.53","DNS","75","Standard query 0x0000 A pinterest.com","00:00:00_00:00:00",""
"154","13.494794718","74.78.90.195","127.0.0.53","DNS","73","Standard query 0x0000 A twitter.com","00:00:00_00:00:00",""
"155","13.507219218","127.127.255.255","127.0.0.53","DNS","75","Standard query 0x0000 A pinterest.com","00:00:00_00:00:00",""
"156","13.510510207","99.99.99.99","127.0.0.53","DNS","73","Standard query 0x0000 A youtube.com","00:00:00_00:00:00",""
"159","13.517737955","52.26.59.159","127.0.0.53","DNS","73","Standard query 0x0000 A youtube.com","00:00:00_00:00:00",""
"160","13.531002860","152.38.174.4","127.0.0.53","DNS","72","Standard query 0x0000 A amazon.com","00:00:00_00:00:00",""
"162","13.647271898","134.25.1.213","127.0.0.53","DNS","72","Standard query 0x0000 A amazon.com","00:00:00_00:00:00",""
"163","13.685608198","127.127.255.255","127.0.0.53","DNS","75","Standard query 0x0000 A wordpress.com","00:00:00_00:00:00",""
"164","13.719323337","192.168.127.127","127.0.0.53","DNS","68","Standard query 0x0000 A goo.gl","00:00:00_00:00:00",""
"165","13.735589446","194.193.82.244","127.0.0.53","DNS","71","Standard query 0x0000 A apple.com","00:00:00_00:00:00",""
"166","13.757953626","12.34.56.78","127.0.0.53","DNS","68","Standard query 0x0000 A goo.gl","00:00:00_00:00:00",""
"167","13.766136352","88.58.242.204","127.0.0.53","DNS","74","Standard query 0x0000 A linkedin.com","00:00:00_00:00:00",""
"168","13.786048270","99.99.99.99","127.0.0.53","DNS","74","Standard query 0x0000 A linkedin.com","00:00:00_00:00:00",""
"169","13.828796754","127.127.127.0","127.0.0.53","DNS","72","Standard query 0x0000 A amazon.com","00:00:00_00:00:00",""
"170","13.851386465","192.168.127.127","127.0.0.53","DNS","72","Standard query 0x0000 A flickr.com","00:00:00_00:00:00",""
"171","13.873844169","99.44.37.9","127.0.0.53","DNS","74","Standard query 0x0000 A facebook.com","00:00:00_00:00:00",""
"172","13.876334769","190.250.101.207","127.0.0.53","DNS","72","Standard query 0x0000 A flickr.com","00:00:00_00:00:00",""
"173","13.876959724","192.168.127.127","127.0.0.53","DNS","71","Standard query 0x0000 A apple.com","00:00:00_00:00:00",""
"174","13.918306073","210.179.219.40","127.0.0.53","DNS","74","Standard query 0x0000 A blogspot.com","00:00:00_00:00:00",""
"175","13.925142646","78.78.78.78","127.0.0.53","DNS","71","Standard query 0x0000 A viemo.com","00:00:00_00:00:00",""
"176","13.933703259","250.33.210.213","127.0.0.53","DNS","73","Standard query 0x0000 A twitter.com","00:00:00_00:00:00",""
"177","13.955345185","127.127.255.255","127.0.0.53","DNS","75","Standard query 0x0000 A pinterest.com","00:00:00_00:00:00",""
"178","13.992175913","182.27.242.46","127.0.0.53","DNS","72","Standard query 0x0000 A tumblr.com","00:00:00_00:00:00",""
"179","14.013506793","73.118.161.225","127.0.0.53","DNS","75","Standard query 0x0000 A wordpress.org","00:00:00_00:00:00",""
"180","14.019566088","174.166.53.54","127.0.0.53","DNS","75","Standard query 0x0000 A wordpress.com","00:00:00_00:00:00",""
"181","14.038312552","192.168.127.127","127.0.0.53","DNS","75","Standard query 0x0000 A wikipedia.org","00:00:00_00:00:00",""
"182","14.061733156","45.103.74.137","127.0.0.53","DNS","71","Standard query 0x0000 A viemo.com","00:00:00_00:00:00",""
"183","14.104691449","26.179.167.113","127.0.0.53","DNS","75","Standard query 0x0000 A instagram.com","00:00:00_00:00:00",""
"184","14.114039107","46.43.242.9","127.0.0.53","DNS","75","Standard query 0x0000 A wordpress.org","00:00:00_00:00:00",""
"185","14.114396081","162.237.59.244","127.0.0.53","DNS","75","Standard query 0x0000 A wikipedia.org","00:00:00_00:00:00",""
"187","14.138968330","43.234.71.80","127.0.0.53","DNS","74","Standard query 0x0000 A linkedin.com","00:00:00_00:00:00",""
"188","14.158409936","12.34.56.78","127.0.0.53","DNS","72","Standard query 0x0000 A amazon.com","00:00:00_00:00:00",""
"189","14.170538902","78.78.78.78","127.0.0.53","DNS","75","Standard query 0x0000 A instagram.com","00:00:00_00:00:00",""
"191","14.241615316","78.87.87.87","127.0.0.53","DNS","71","Standard query 0x0000 A apple.com","00:00:00_00:00:00",""
"192","14.255359973","127.127.127.0","127.0.0.53","DNS","75","Standard query 0x0000 A pinterest.com","00:00:00_00:00:00",""
"193","14.292043130","78.78.78.78","127.0.0.53","DNS","71","Standard query 0x0000 A viemo.com","00:00:00_00:00:00",""
"194","14.331388325","192.168.127.127","127.0.0.53","DNS","72","Standard query 0x0000 A google.com","00:00:00_00:00:00",""
"197","14.342645372","12.34.56.78","127.0.0.53","DNS","75","Standard query 0x0000 A wordpress.com","00:00:00_00:00:00",""
"198","14.380659074","78.87.87.87","127.0.0.53","DNS","73","Standard query 0x0000 A twitter.com","00:00:00_00:00:00",""
"199","14.391146390","78.87.87.87","127.0.0.53","DNS","75","Standard query 0x0000 A wordpress.org","00:00:00_00:00:00",""
"200","14.419938080","172.255.1.2","127.0.0.53","DNS","73","Standard query 0x0000 A youtube.com","00:00:00_00:00:00",""
"201","14.443245321","85.221.246.243","127.0.0.53","DNS","74","Standard query 0x0000 A facebook.com","00:00:00_00:00:00",""
"202","14.461606205","78.87.87.87","127.0.0.53","DNS","75","Standard query 0x0000 A wordpress.com","00:00:00_00:00:00",""
"205","14.477467115","212.83.156.167","127.0.0.53","DNS","70","Standard query 0x0000 A youtu.be","00:00:00_00:00:00",""
"208","14.505825178","99.99.99.99","127.0.0.53","DNS","72","Standard query 0x0000 A amazon.com","00:00:00_00:00:00",""
"209","14.508373521","99.99.99.99","127.0.0.53","DNS","72","Standard query 0x0000 A amazon.com","00:00:00_00:00:00",""
"215","14.547764456","127.127.127.0","127.0.0.53","DNS","72","Standard query 0x0000 A flickr.com","00:00:00_00:00:00",""
"216","14.556178181","220.65.5.172","127.0.0.53","DNS","74","Standard query 0x0000 A blogspot.com","00:00:00_00:00:00",""
"217","14.558170435","28.37.89.31","127.0.0.53","DNS","75","Standard query 0x0000 A pinterest.com","00:00:00_00:00:00",""
"218","14.579536284","98.62.248.122","127.0.0.53","DNS","75","Standard query 0x0000 A pinterest.com","00:00:00_00:00:00",""
"219","14.588937795","190.104.126.73","127.0.0.53","DNS","72","Standard query 0x0000 A amazon.com","00:00:00_00:00:00",""
"220","14.609960581","136.69.68.154","127.0.0.53","DNS","68","Standard query 0x0000 A goo.gl","00:00:00_00:00:00",""
"221","14.646404271","127.127.127.0","127.0.0.53","DNS","68","Standard query 0x0000 A goo.gl","00:00:00_00:00:00",""
"222","14.713052351","233.29.22.9","127.0.0.53","DNS","75","Standard query 0x0000 A wikipedia.org","00:00:00_00:00:00",""
"223","14.719868451","187.139.98.129","127.0.0.53","DNS","71","Standard query 0x0000 A adobe.com","00:00:00_00:00:00",""
"224","14.746569738","167.12.142.18","127.0.0.53","DNS","72","Standard query 0x0000 A tumblr.com","00:00:00_00:00:00",""
"225","14.754612407","78.78.78.78","127.0.0.53","DNS","74","Standard query 0x0000 A facebook.com","00:00:00_00:00:00",""
"226","14.756847869","98.197.100.247","127.0.0.53","DNS","75","Standard query 0x0000 A wordpress.com","00:00:00_00:00:00",""
"227","14.769549358","85.231.69.151","127.0.0.53","DNS","75","Standard query 0x0000 A instagram.com","00:00:00_00:00:00",""
"228","14.773419251","192.168.127.127","127.0.0.53","DNS","75","Standard query 0x0000 A pinterest.com","00:00:00_00:00:00",""
"233","14.841082818","12.34.56.78","127.0.0.53","DNS","75","Standard query 0x0000 A instagram.com","00:00:00_00:00:00",""
"234","14.905001098","12.34.56.78","127.0.0.53","DNS","74","Standard query 0x0000 A blogspot.com","00:00:00_00:00:00",""
"235","14.916827271","78.78.78.78","127.0.0.53","DNS","75","Standard query 0x0000 A wikipedia.org","00:00:00_00:00:00",""
"236","14.961051269","127.127.255.255","127.0.0.53","DNS","75","Standard query 0x0000 A pinterest.com","00:00:00_00:00:00",""
"237","14.963175399","233.182.155.151","127.0.0.53","DNS","75","Standard query 0x0000 A instagram.com","00:00:00_00:00:00",""
"238","14.973756227","78.87.87.87","127.0.0.53","DNS","75","Standard query 0x0000 A microsoft.com","00:00:00_00:00:00",""
"239","15.000231942","204.33.57.90","127.0.0.53","DNS","75","Standard query 0x0000 A wordpress.org","00:00:00_00:00:00",""
"240","15.000839217","248.197.50.67","127.0.0.53","DNS","75","Standard query 0x0000 A instagram.com","00:00:00_00:00:00",""
"241","15.042300125","137.173.49.118","127.0.0.53","DNS","74","Standard query 0x0000 A blogspot.com","00:00:00_00:00:00",""
"242","15.045772197","12.34.56.78","127.0.0.53","DNS","71","Standard query 0x0000 A adobe.com","00:00:00_00:00:00",""
"243","15.052357576","43.106.217.159","127.0.0.53","DNS","75","Standard query 0x0000 A wordpress.org","00:00:00_00:00:00",""
"244","15.061964579","99.99.99.99","127.0.0.53","DNS","72","Standard query 0x0000 A flickr.com","00:00:00_00:00:00",""
"245","15.071055315","105.26.64.72","127.0.0.53","DNS","75","Standard query 0x0000 A pinterest.com","00:00:00_00:00:00",""
"246","15.075770858","12.34.56.78","127.0.0.53","DNS","74","Standard query 0x0000 A facebook.com","00:00:00_00:00:00",""
"247","15.076322836","54.37.54.133","127.0.0.53","DNS","73","Standard query 0x0000 A youtube.com","00:00:00_00:00:00",""
"248","15.076816563","37.247.164.239","127.0.0.53","DNS","75","Standard query 0x0000 A wordpress.com","00:00:00_00:00:00",""
"249","15.082617677","139.196.234.152","127.0.0.53","DNS","72","Standard query 0x0000 A amazon.com","00:00:00_00:00:00",""
"250","15.101744302","162.238.121.44","127.0.0.53","DNS","72","Standard query 0x0000 A google.com","00:00:00_00:00:00",""
"251","15.136589215","199.243.118.195","127.0.0.53","DNS","74","Standard query 0x0000 A facebook.com","00:00:00_00:00:00",""
"252","15.153434796","201.117.128.177","127.0.0.53","DNS","72","Standard query 0x0000 A google.com","00:00:00_00:00:00",""
"253","15.234991287","167.221.88.30","127.0.0.53","DNS","72","Standard query 0x0000 A flickr.com","00:00:00_00:00:00",""
"254","15.251520821","172.255.1.2","127.0.0.53","DNS","73","Standard query 0x0000 A twitter.com","00:00:00_00:00:00",""
"255","15.331766013","99.156.224.102","127.0.0.53","DNS","71","Standard query 0x0000 A adobe.com","00:00:00_00:00:00",""
"256","15.401430734","172.255.1.2","127.0.0.53","DNS","68","Standard query 0x0000 A goo.gl","00:00:00_00:00:00",""
"257","15.410819771","127.127.255.255","127.0.0.53","DNS","72","Standard query 0x0000 A google.com","00:00:00_00:00:00",""
"258","15.434174656","78.87.87.87","127.0.0.53","DNS","68","Standard query 0x0000 A goo.gl","00:00:00_00:00:00",""
"259","15.450671110","78.87.87.87","127.0.0.53","DNS","74","Standard query 0x0000 A blogspot.com","00:00:00_00:00:00",""
"260","15.457047647","12.34.56.78","127.0.0.53","DNS","74","Standard query 0x0000 A blogspot.com","00:00:00_00:00:00",""
"261","15.476332172","182.72.156.136","127.0.0.53","DNS","71","Standard query 0x0000 A adobe.com","00:00:00_00:00:00",""
"262","15.511946240","5.18.200.155","127.0.0.53","DNS","70","Standard query 0x0000 A youtu.be","00:00:00_00:00:00",""
"263","15.515579416","192.168.127.127","127.0.0.53","DNS","75","Standard query 0x0000 A pinterest.com","00:00:00_00:00:00",""
"264","15.524422548","127.127.127.0","127.0.0.53","DNS","74","Standard query 0x0000 A facebook.com","00:00:00_00:00:00",""
"265","15.532016910","36.190.17.133","127.0.0.53","DNS","72","Standard query 0x0000 A tumblr.com","00:00:00_00:00:00",""
"266","15.537093589","192.168.127.127","127.0.0.53","DNS","72","Standard query 0x0000 A flickr.com","00:00:00_00:00:00",""
"268","15.538120177","19.45.30.5","127.0.0.53","DNS","68","Standard query 0x0000 A goo.gl","00:00:00_00:00:00",""
"269","15.540217804","127.127.127.0","127.0.0.53","DNS","75","Standard query 0x0000 A wordpress.com","00:00:00_00:00:00",""
"270","15.549673069","58.200.131.168","127.0.0.53","DNS","71","Standard query 0x0000 A apple.com","00:00:00_00:00:00",""
"271","15.552616143","10.149.20.144","127.0.0.53","DNS","74","Standard query 0x0000 A blogspot.com","00:00:00_00:00:00",""
"272","15.564946991","172.255.1.2","127.0.0.53","DNS","72","Standard query 0x0000 A amazon.com","00:00:00_00:00:00",""
"273","15.622805223","127.127.255.255","127.0.0.53","DNS","73","Standard query 0x0000 A youtube.com","00:00:00_00:00:00",""
"274","15.654538097","101.203.183.25","127.0.0.53","DNS","72","Standard query 0x0000 A flickr.com","00:00:00_00:00:00",""
"275","15.654845860","172.255.1.2","127.0.0.53","DNS","73","Standard query 0x0000 A twitter.com","00:00:00_00:00:00",""
"276","15.663180788","78.87.87.87","127.0.0.53","DNS","75","Standard query 0x0000 A microsoft.com","00:00:00_00:00:00",""
"279","15.668728906","78.87.87.87","127.0.0.53","DNS","71","Standard query 0x0000 A viemo.com","00:00:00_00:00:00",""
"280","15.697040903","116.153.65.202","127.0.0.53","DNS","74","Standard query 0x0000 A linkedin.com","00:00:00_00:00:00",""
"281","15.699048463","103.194.98.144","127.0.0.53","DNS","72","Standard query 0x0000 A flickr.com","00:00:00_00:00:00",""
"282","15.795544236","78.87.87.87","127.0.0.53","DNS","72","Standard query 0x0000 A tumblr.com","00:00:00_00:00:00",""
"283","15.828206301","239.9.85.182","127.0.0.53","DNS","73","Standard query 0x0000 A youtube.com","00:00:00_00:00:00",""
"287","15.861349502","191.30.116.213","127.0.0.53","DNS","74","Standard query 0x0000 A blogspot.com","00:00:00_00:00:00",""
"288","15.863569109","127.127.255.255","127.0.0.53","DNS","71","Standard query 0x0000 A apple.com","00:00:00_00:00:00",""
"289","15.909128145","99.99.99.99","127.0.0.53","DNS","73","Standard query 0x0000 A youtube.com","00:00:00_00:00:00",""
"292","15.949795992","254.18.237.92","127.0.0.53","DNS","72","Standard query 0x0000 A amazon.com","00:00:00_00:00:00",""
"295","15.979156448","111.95.33.185","127.0.0.53","DNS","74","Standard query 0x0000 A blogspot.com","00:00:00_00:00:00",""
"296","15.994832529","12.34.56.78","127.0.0.53","DNS","74","Standard query 0x0000 A facebook.com","00:00:00_00:00:00",""
"297","15.998487379","91.82.134.137","127.0.0.53","DNS","72","Standard query 0x0000 A amazon.com","00:00:00_00:00:00",""
"300","16.031936170","246.135.16.201","127.0.0.53","DNS","74","Standard query 0x0000 A facebook.com","00:00:00_00:00:00",""
"301","16.034426602","127.127.255.255","127.0.0.53","DNS","75","Standard query 0x0000 A wordpress.com","00:00:00_00:00:00",""
"302","16.038548825","78.87.87.87","127.0.0.53","DNS","75","Standard query 0x0000 A wikipedia.org","00:00:00_00:00:00",""
"303","16.078553756","136.140.45.24","127.0.0.53","DNS","74","Standard query 0x0000 A blogspot.com","00:00:00_00:00:00",""
"304","16.096065376","172.255.1.2","127.0.0.53","DNS","72","Standard query 0x0000 A amazon.com","00:00:00_00:00:00",""
"305","16.103621128","78.87.87.87","127.0.0.53","DNS","68","Standard query 0x0000 A goo.gl","00:00:00_00:00:00",""
"306","16.118483999","78.78.78.78","127.0.0.53","DNS","72","Standard query 0x0000 A tumblr.com","00:00:00_00:00:00",""
"307","16.120505718","12.34.56.78","127.0.0.53","DNS","72","Standard query 0x0000 A amazon.com","00:00:00_00:00:00",""
"308","16.121340980","49.205.134.235","127.0.0.53","DNS","72","Standard query 0x0000 A amazon.com","00:00:00_00:00:00",""
"309","16.123877640","99.99.99.99","127.0.0.53","DNS","71","Standard query 0x0000 A adobe.com","00:00:00_00:00:00",""
"310","16.140035897","14.185.197.11","127.0.0.53","DNS","73","Standard query 0x0000 A twitter.com","00:00:00_00:00:00",""
"311","16.165107143","12.34.56.78","127.0.0.53","DNS","75","Standard query 0x0000 A wordpress.org","00:00:00_00:00:00",""
"312","16.170194817","99.168.92.105","127.0.0.53","DNS","71","Standard query 0x0000 A viemo.com","00:00:00_00:00:00",""
"313","16.174191109","78.78.78.78","127.0.0.53","DNS","75","Standard query 0x0000 A pinterest.com","00:00:00_00:00:00",""
"314","16.235083299","86.126.54.7","127.0.0.53","DNS","73","Standard query 0x0000 A twitter.com","00:00:00_00:00:00",""
"315","16.256963501","127.127.127.0","127.0.0.53","DNS","75","Standard query 0x0000 A pinterest.com","00:00:00_00:00:00",""
"317","16.325881469","127.127.127.0","127.0.0.53","DNS","75","Standard query 0x0000 A wikipedia.org","00:00:00_00:00:00",""
"318","16.341224100","101.127.242.149","127.0.0.53","DNS","71","Standard query 0x0000 A apple.com","00:00:00_00:00:00",""
"319","16.384803216","208.164.245.175","127.0.0.53","DNS","74","Standard query 0x0000 A blogspot.com","00:00:00_00:00:00",""
"320","16.413638461","192.168.127.127","127.0.0.53","DNS","72","Standard query 0x0000 A amazon.com","00:00:00_00:00:00",""
"321","16.418160179","249.18.76.133","127.0.0.53","DNS","75","Standard query 0x0000 A pinterest.com","00:00:00_00:00:00",""
"322","16.438322430","78.78.78.78","127.0.0.53","DNS","72","Standard query 0x0000 A flickr.com","00:00:00_00:00:00",""
"323","16.446519253","79.241.39.206","127.0.0.53","DNS","72","Standard query 0x0000 A tumblr.com","00:00:00_00:00:00",""
"324","16.491128849","224.46.48.82","127.0.0.53","DNS","74","Standard query 0x0000 A blogspot.com","00:00:00_00:00:00",""
"325","16.491511953","241.111.163.177","127.0.0.53","DNS","74","Standard query 0x0000 A blogspot.com","00:00:00_00:00:00",""
"329","16.555121158","195.133.123.211","127.0.0.53","DNS","74","Standard query 0x0000 A facebook.com","00:00:00_00:00:00",""
"330","16.570680316","192.168.127.127","127.0.0.53","DNS","75","Standard query 0x0000 A wordpress.org","00:00:00_00:00:00",""
"331","16.577944843","192.168.127.127","127.0.0.53","DNS","70","Standard query 0x0000 A youtu.be","00:00:00_00:00:00",""
"332","16.578548241","179.40.226.25","127.0.0.53","DNS","71","Standard query 0x0000 A apple.com","00:00:00_00:00:00",""
"333","16.580774160","127.127.255.255","127.0.0.53","DNS","70","Standard query 0x0000 A youtu.be","00:00:00_00:00:00",""
"336","16.598331527","172.255.1.2","127.0.0.53","DNS","74","Standard query 0x0000 A blogspot.com","00:00:00_00:00:00",""
"337","16.633656385","167.128.55.105","127.0.0.53","DNS","75","Standard query 0x0000 A microsoft.com","00:00:00_00:00:00",""
"338","16.651191589","14.238.175.152","127.0.0.53","DNS","72","Standard query 0x0000 A tumblr.com","00:00:00_00:00:00",""
"339","16.688583985","188.183.74.207","127.0.0.53","DNS","71","Standard query 0x0000 A viemo.com","00:00:00_00:00:00",""
"340","16.702745411","78.78.78.78","127.0.0.53","DNS","75","Standard query 0x0000 A wordpress.org","00:00:00_00:00:00",""
"341","16.739626496","99.99.99.99","127.0.0.53","DNS","73","Standard query 0x0000 A youtube.com","00:00:00_00:00:00",""
"342","16.761886559","127.127.127.0","127.0.0.53","DNS","74","Standard query 0x0000 A linkedin.com","00:00:00_00:00:00",""
"343","16.762309123","149.228.142.4","127.0.0.53","DNS","73","Standard query 0x0000 A twitter.com","00:00:00_00:00:00",""
"347","16.817264951","84.55.114.193","127.0.0.53","DNS","75","Standard query 0x0000 A instagram.com","00:00:00_00:00:00",""
"349","16.818774663","210.90.141.203","127.0.0.53","DNS","74","Standard query 0x0000 A facebook.com","00:00:00_00:00:00",""
"350","16.827408022","124.225.97.56","127.0.0.53","DNS","68","Standard query 0x0000 A goo.gl","00:00:00_00:00:00",""
"353","16.848733600","6.100.17.224","127.0.0.53","DNS","75","Standard query 0x0000 A pinterest.com","00:00:00_00:00:00",""
"354","16.862768894","172.255.1.2","127.0.0.53","DNS","75","Standard query 0x0000 A wikipedia.org","00:00:00_00:00:00",""
"355","16.877186205","192.168.127.127","127.0.0.53","DNS","68","Standard query 0x0000 A goo.gl","00:00:00_00:00:00",""
"356","16.930736825","78.87.87.87","127.0.0.53","DNS","70","Standard query 0x0000 A youtu.be","00:00:00_00:00:00",""
"357","16.946066935","173.139.239.223","127.0.0.53","DNS","75","Standard query 0x0000 A microsoft.com","00:00:00_00:00:00",""
"358","16.949535824","76.34.161.236","127.0.0.53","DNS","73","Standard query 0x0000 A twitter.com","00:00:00_00:00:00",""
"359","16.981578656","172.255.1.2","127.0.0.53","DNS","75","Standard query 0x0000 A microsoft.com","00:00:00_00:00:00",""
"360","16.989738758","220.91.115.240","127.0.0.53","DNS","68","Standard query 0x0000 A goo.gl","00:00:00_00:00:00",""
"363","17.050787039","78.78.78.78","127.0.0.53","DNS","72","Standard query 0x0000 A tumblr.com","00:00:00_00:00:00",""
"364","17.062050546","78.78.78.78","127.0.0.53","DNS","71","Standard query 0x0000 A apple.com","00:00:00_00:00:00",""
"365","17.087318709","216.255.233.36","127.0.0.53","DNS","70","Standard query 0x0000 A youtu.be","00:00:00_00:00:00",""
"366","17.094528990","34.2.147.235","127.0.0.53","DNS","71","Standard query 0x0000 A apple.com","00:00:00_00:00:00",""
"367","17.128151923","12.34.56.78","127.0.0.53","DNS","71","Standard query 0x0000 A adobe.com","00:00:00_00:00:00",""
"368","17.157628711","172.255.1.2","127.0.0.53","DNS","73","Standard query 0x0000 A twitter.com","00:00:00_00:00:00",""
"369","17.172547666","127.127.255.255","127.0.0.53","DNS","74","Standard query 0x0000 A facebook.com","00:00:00_00:00:00",""
"371","17.221386062","171.196.85.173","127.0.0.53","DNS","71","Standard query 0x0000 A apple.com","00:00:00_00:00:00",""
"372","17.249919982","234.5.43.177","127.0.0.53","DNS","74","Standard query 0x0000 A blogspot.com","00:00:00_00:00:00",""
